ElectoralDistrictName;ElectoralDistrictNumber;VotingLocationName;VotingLocationAddress;VotingLocationType;VotingLocationOpens;VotingLocationNumber;VotingLocationCloses;GeoJSON;geo_point_2d
Lakeside;4;St. Andrews by the Lake Church;1 Redden St;Election Day;2018-10-22T10:00:00-04:00;9;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.56963458966506, 44.217634988549285]}";44.2176349885, -76.5696345897
Williamsville;9;Kingston Memorial Centre;303 York St;Election Day;2018-10-22T10:00:00-04:00;18;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.49974376334815, 44.239100974917356]}";44.2391009749, -76.4997437633
Pittsburgh;12;LaSalle Secondary School;773 Highway 15;Election Day;2018-10-22T10:00:00-04:00;24;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.45921687053928, 44.25325265764607]}";44.2532526576, -76.4592168705
Trillium;6;Bay Park Baptist Church;775 Progress Av;Election Day;2018-10-22T10:00:00-04:00;13;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.5775318096243, 44.247057180691925]}";44.2470571807, -76.5775318096
Sydenham;10;Chalmers United Church;212 Barrie St;Election Day;2018-10-22T10:00:00-04:00;20;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.49072103593282, 44.229241764908735]}";44.2292417649, -76.4907210359
Meadowbrook-Strathcona;8;Trillium Ridge Nursing Home;800 Edgar St;Election Day-Institutional;2018-10-22T00:00:00-04:00;43;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.55250984078982, 44.250476627361955]}";44.2504766274, -76.5525098408
Meadowbrook-Strathcona;8;Extendicare Kingston;309 Queen Mary Rd;Election Day-Institutional;2018-10-22T00:00:00-04:00;39;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.53521063104645, 44.239310295870865]}";44.2393102959, -76.535210631
Meadowbrook-Strathcona;8;Kingsdale Chateau;520 Kingsdale Ave;Election Day-Institutional;2018-10-22T00:00:00-04:00;54;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.5482471076438, 44.245243189896065]}";44.2452431899, -76.5482471076
Trillium;6;Archbishop O’Sullivan Catholic School;974 Pembridge Cres;Advance Voting Day;2018-10-13T10:00:00-04:00;31;2018-10-13T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.5847962599758, 44.249589231076]}";44.2495892311, -76.58479626
Lakeside;4;Our Lady of Lourdes Catholic School;20 Cranbrook St;Advance Voting Day;2018-10-13T10:00:00-04:00;29;2018-10-13T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.57036658062572, 44.21991778110906]}";44.2199177811, -76.5703665806
King’s Town;11;St. Lawrence Place;181 Ontario St;Election Day-Institutional;2018-10-22T00:00:00-04:00;45;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.48105654759482, 44.228469467126104]}";44.2284694671, -76.4810565476
King’s Town;11;Rideaucrest Home;175 Rideau St;Election Day-Institutional;2018-10-22T00:00:00-04:00;42;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.4824294995764, 44.23824905053883]}";44.2382490505, -76.4824294996
Trillium;6;Arbour Heights;564 Tanner Dr;Election Day-Institutional;2018-10-22T00:00:00-04:00;38;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.5587794354793, 44.239391737387756]}";44.2393917374, -76.5587794355
Meadowbrook-Strathcona;8;St. Marguerite Bourgeoys Catholic School;355 Waterloo Dr;Advance Voting Day;2018-10-13T10:00:00-04:00;33;2018-10-13T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.55234010331736, 44.253644955326784]}";44.2536449553, -76.5523401033
Countryside;1;Fairmount Home for the Aged;2069 Battersea Rd;Election Day-Institutional;2018-10-22T00:00:00-04:00;40;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.46533473818084, 44.312907873738084]}";44.3129078737, -76.4653347382
Collins-Bayridge;3;Holy Cross Catholic Secondary School;1085 Woodbine Rd;Election Day;2018-10-22T10:00:00-04:00;7;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.5974674700913, 44.25783727295424]}";44.257837273, -76.5974674701
Trillium;6;Royale Place Retirement Residence;2485 Princess St;Election Day-Institutional;2018-10-22T00:00:00-04:00;49;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.56599831426526, 44.2576439168339]}";44.2576439168, -76.5659983143
Portsmouth;5;Providence Care Hospital;752 King Street West;Election Day-Institutional;2018-10-22T00:00:00-04:00;47;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.528520878186, 44.216134650351954]}";44.2161346504, -76.5285208782
Pittsburgh;12;Kingston Military Community Sports Centre;11 Navy Way;Election Day;2018-10-22T10:00:00-04:00;25;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.46836374439472, 44.23652469874967]}";44.2365246987, -76.4683637444
Sydenham;10;Kingston General Hospital;76 Stuart St;Election Day-Institutional;2018-10-22T00:00:00-04:00;46;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.49285698615941, 44.224339782909034]}";44.2243397829, -76.4928569862
King’s Town;11;Providence Manor;275 Sydenham St;Election Day-Institutional;2018-10-22T00:00:00-04:00;41;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.48585950668512, 44.23532088992849]}";44.2353208899, -76.4858595067
